Script,Current_Month,Next_Month
#AARTIIND,1000,1000
ABCAPITAL,5400,5400
ABFRL,2600,2600
ADANIPORTS,400,400
AMBUJACEM,900,900
APOLLOHOSP,125,125
APOLLOTYRE,1700,1700
ASHOKLEY,5000,5000
ASIANPAINT,200,200
ASTRAL,367,367
ATUL,100,100
AUBANK,1000,1000
AUROPHARMA,550,550
AXISBANK,625,625
BAJAJ-AUTO,75,75
BAJAJFINSV,500,500
BAJFINANCE,125,125
BALKRISIND,300,300
BALRAMCHIN,1600,1600
#BANDHANBNK,2800,2800
BANKBARODA,2925,2925
BATAINDIA,375,375
BEL,2850,2850
BERGEPAINT,1320,1320
BHARATFORG,500,500
BHARTIARTL,475,475
BHEL,2625,2625
BIOCON,2500,2500
BPCL,1800,1800
BRITANNIA,200,200
BSOFT,1000,1000
CANBK,6750,6750
CANFINHOME,975,975
CHAMBLFERT,1900,1900
CHOLAFIN,625,625
CIPLA,650,650
COALINDIA,2100,2100
COFORGE,150,150
COLPAL,350,350
CONCOR,1000,1000
COROMANDEL,700,700
CROMPTON,1800,1800
CUB,5000,5000
CUMMINSIND,300,300
DABUR,1250,1250
DALBHARAT,275,275
DEEPAKNTR,300,300
DIVISLAB,200,200
DIXON,100,100
DLF,825,825
DRREDDY,125,125
EICHERMOT,175,175
ESCORTS,275,275
EXIDEIND,1800,1800
FEDERALBNK,5000,5000
GAIL,4575,4575
GLENMARK,725,725
GMRINFRA,11250,11250
#GNFC,1300,1300
GODREJCP,500,500
GODREJPROP,225,225
GRANULES,2000,2000
GRASIM,250,250
GUJGASLTD,1250,1250
HAL,300,300
HAVELLS,500,500
HCLTECH,350,350
HDFCAMC,150,150
HDFCBANK,550,550
HDFCLIFE,1100,1100
HEROMOTOCO,150,150
HINDALCO,1400,1400
#HINDCOPPER,2650,2650
HINDPETRO,2025,2025
HINDUNILVR,300,300
ICICIBANK,700,700
ICICIGI,500,500
ICICIPRULI,1500,1500
#IDEA,40000,40000
#IDFC,5000,5000
IDFCFIRSTB,7500,7500
IEX,3750,3750
IGL,1375,1375
INDHOTEL,1000,1000
INDIAMART,300,300
INDIGO,300,300
INDUSINDBK,500,500
INDUSTOWER,3400,3400
INFY,400,400
IOC,4875,4875
IPCALAB,650,650
IRCTC,875,875
ITC,1600,1600
JINDALSTEL,625,625
JKCEMENT,125,125
JSWSTEEL,675,675
JUBLFOOD,1250,1250
KOTAKBANK,400,400
LALPATHLAB,300,300
LAURUSLABS,1700,1700
LICHSGFIN,1000,1000
LT,150,150
LTF,4462,4462
LTIM,150,150
LTTS,100,100
LUPIN,425,425
M&M,350,350
M&MFIN,2000,2000
#MANAPPURAM,3000,3000
MARICO,1200,1200
MARUTI,50,50
MCX,200,200
#METROPOLIS,400,400
MFSL,800,800
MGL,400,400
MOTHERSON,7100,7100
MPHASIS,275,275
MUTHOOTFIN,550,550
NATIONALUM,3750,3750
NAUKRI,150,150
NAVINFLUOR,175,175
NESTLEIND,200,200
NMDC,4500,4500
NTPC,1500,1500
OBEROIRLTY,700,700
OFSS,100,100
ONGC,1925,1925
PEL,750,750
PERSISTENT,200,200
PETRONET,3000,3000
PFC,1300,1300
PIDILITIND,250,250
PIIND,250,250
PNB,8000,8000
POLYCAB,125,125
POWERGRID,3600,3600
PVRINOX,407,407
RAMCOCEM,850,850
#RBLBANK,2500,2500
RECLTD,2000,2000
RELIANCE,250,250
SAIL,4000,4000
SBICARD,800,800
SBILIFE,375,375
SBIN,750,750
SHRIRAMFIN,300,300
SIEMENS,150,150
SRF,375,375
SUNPHARMA,350,350
SUNTV,1500,1500
SYNGENE,1000,1000
TATACHEM,550,550
TATACOMM,500,500
TATACONSUM,456,456
TATAMOTORS,550,550
TATAPOWER,1350,1350
TATASTEEL,5500,5500
TCS,175,175
TECHM,600,600
TITAN,175,175
TORNTPHARM,250,250
TRENT,200,200
TVSMOTOR,350,350
UBL,400,400
ULTRACEMCO,100,100
UNITDSPR,700,700
UPL,1300,1300
VEDL,2300,2300
VOLTAS,600,600
WIPRO,1500,1500
ZYDUSLIFE,900,900
